L_Segment	N_Segments	Path_Length	Comp_Time_Gen	Comp_Time_Robot	Max_Path_Err_m	Min_Obs_Dist_m	Jerk_Index
0.15	5	0.8684714123819426	9.984787940979004	15.0	0.020776864739888445	0.12741804246389526	566503.6091123633
0.14	5	0.8421296846098897	0.5261869430541992	15.0	0.023143096987560827	0.12741804246389526	569391.7938991182
0.13	5	0.817418506194572	0.4431447982788086	15.0	0.025422182667087945	0.12741804246389526	571969.465074636
0.12	6	0.8781906978744709	0.8596432209014893	15.0	0.018634026184517004	0.12741804246389526	567828.9639465489
0.11	7	0.9250020561508572	0.9590649604797363	15.0	0.0138981568136138	0.12741804246389526	564901.6573129732
0.1	8	0.9590988930925924	1.4463770389556885	15.0	0.01233597236448844	0.12741804246389526	563144.1355490632
0.09	9	0.9815274306081359	1.904175043106079	15.0	0.011264507645127299	0.12741804246389526	562398.5422811481
0.08	10	0.9935446700161767	2.7595741748809814	15.0	0.009844599274735568	0.12741804246389526	562432.9471679812
0.07	10	0.9525259081791869	2.70306396484375	15.0	0.01143289820215484	0.12741804246389526	565948.1933751036
0.06	10	0.916304187235349	2.7556300163269043	15.0	0.0135207348541213	0.12741804246389526	570063.8958388012
0.05	10	0.8837236677019547	2.95633602142334	15.0	0.015441209021732984	0.12741804246389526	573769.0721651054
