L_Segment	N_Segments	Path_Length	Comp_Time_Gen	Comp_Time_Robot	Max_Path_Err_m	Min_Obs_Dist_m	Jerk_Index
0.15	3	0.5736684585470726	0.22497200965881348	4.883255503669113	0.037817361952163175	-0.002538515687175197	581379.6949734982
0.14	3	0.5645248986598085	0.22757792472839355	4.883255503669113	0.03941699632663599	-0.0014252496524956373	586369.1395134636
0.13	3	0.556192806951397	0.22978711128234863	4.873248832555037	0.04122589860941003	0.00019243658287471793	580497.478153687
0.12	4	0.6177242763425507	0.2958390712738037	4.883255503669113	0.03062996250006022	-0.0009249455225730854	598738.6369868681
0.11	4	0.5969097765499525	0.3074970245361328	4.873248832555037	0.030961903616930506	-0.00380546485574889	613637.5775529989
0.1	7	0.8777090182739654	1.50895094871521	11.197464976651101	0.03253705553225072	0.10576291559280637	567073.4651337939
0.09	5	0.6174035863602159	0.40596699714660645	4.71314209472982	0.02967398490210865	0.010542524537745172	561793.9559757925
0.08	5	0.5984164615810035	0.42818784713745117	4.893262174783189	0.030039062078932505	0.0048080475434515504	574269.5336968503
0.07	5	0.5845688533174079	0.46480703353881836	4.913275517011341	0.030517297778542236	0.0007468057707210457	606994.6859676787
0.06	6	0.6123921205979085	0.7267329692840576	4.8232154769846565	0.027873666448787745	0.004658895959098484	568309.8099679493
0.05	7	0.621282312885824	1.1654419898986816	4.793195463642428	0.027924287595089803	0.016163788020480185	565743.7869295962
