L_Segment	N_Segments	Path_Length	Comp_Time_Gen	Comp_Time_Robot	Max_Path_Err_m	Min_Obs_Dist_m	Jerk_Index
0.15	4	0.702667549462812	0.2840399742126465	4.252835223482322	0.011395887110099869	0.18380869096606314	574350.560715128
0.14	4	0.6837344614605358	0.29464221000671387	4.202801867911941	0.01132103164770912	0.17647937449418516	576368.7374601957
0.13	4	0.6661791936202185	0.3005180358886719	4.152768512341561	0.01150070550678578	0.16982920002045618	579679.2353497634
0.12	5	0.7256184881737291	0.6002120971679688	4.33288859239493	0.011628113695595957	0.19620474918157874	574609.498321145
0.11	5	0.7041942847528524	0.4305441379547119	4.262841894596398	0.01168496522941492	0.18891890362811897	577522.1548922083
0.1	6	0.7460220424749592	0.9011328220367432	4.38292194796531	0.011632587506534836	0.20114919190954797	574988.8883410698
0.09	7	0.7764346311769609	0.9556758403778076	4.442961974649767	0.011639358086241869	0.2044982576081694	573083.2560299305
0.08	8	0.7963773017619205	1.4039280414581299	4.462975316877919	0.011379237880265711	0.2056637992653584	572767.4197715503
0.07	9	0.807088164476215	2.0606980323791504	4.462975316877919	0.010894341580348759	0.20645680601053024	572355.8604874738
0.06	10	0.8102070544355318	2.6443381309509277	4.452968645763843	0.010312483539051094	0.20692715457390595	573637.1192577934
0.05	10	0.7791047530938915	2.8101110458374023	4.4229486324216145	0.010287058171963785	0.2058756604293907	578453.5321711882
