L_Segment	N_Segments	Path_Length	Comp_Time_Gen	Comp_Time_Robot	Max_Path_Err_m	Min_Obs_Dist_m	Jerk_Index

0.15	5	0.8655484506946569	0.5400679111480713	13.24883255503669	0.02096823724975266	0.12741804246389526	566481.5992642178
0.14	5	0.8388280216434907	0.5337569713592529	13.338892595063376	0.023415098967385303	0.12741804246389526	569415.8106345444
0.13	5	0.8137107641373692	0.5483179092407227	13.438959306204136	0.025775741005475968	0.12741804246389526	572267.0670531862
0.12	6	0.8746202617585506	0.9961481094360352	13.158772515010007	0.018803428914476478	0.12741804246389526	567500.9200031151
0.11	7	0.9213005244007084	1.6030051708221436	12.99866577718479	0.013987814628094557	0.12741804246389526	564526.6488051139
0.1	8	0.9551206568033851	2.2820820808410645	12.878585723815878	0.012443279393131782	0.12741804246389526	563100.7194641996
0.09	9	0.9771722856754642	3.3086068630218506	12.838559039359573	0.01140411311048192	0.12741804246389526	562253.0023882494
0.08	10	0.9887412044939249	4.822829008102417	12.808539026017344	0.011559295890126586	0.12741804246389526	562220.6976386782
0.07	10	0.9473522601192307	4.917469024658203	12.848565710473649	0.01160775141506123	0.12741804246389526	565811.6823890995
0.06	10	0.9107661754574685	5.192456960678101	12.89859906604403	0.013744621494904343	0.12741804246389526	569626.305022603
0.05	10	0.8777914386089951	5.52585506439209	12.958639092728486	0.015745000236550035	0.12741804246389526	573040.8834452291
