L_Segmen N_Segments Path_Length	        Comp_Time_Gen	       Comp_Time_Robot	      Max_Path_Err_m	       Min_Obs_Dist_m	     Jerk_Index

0.15	3	0.5608816729232688	0.23658394813537598	6.484322881921281	0.03294484815311179	0.10621956895464635	561214.1355723052
0.14	3	0.551015780312024	0.2542760372161865	8.215476984656437	0.03130458089625797	0.10557490696626054	562517.6652556282
0.13	4	0.6372843061711427	0.2886979579925537	3.4523015343562373	0.018813004237035746	0.17007585737941175	2.2403411617072443e6
0.12	4	0.6127744174191934	0.29706287384033203	3.62241494329553	0.022302172756940273	0.1609988816581576	7.168155040029923e6
0.11	5	0.6794023133575258	0.41455721855163574	3.402268178785857	0.01495424315414412	0.18701600015263783	589555.8019560534
0.1	6	0.7260294503632453	0.5882771015167236	3.392261507671781	0.011409486535957428	0.1941788724098495	564149.068294272
0.09	6	0.697893997471517	0.6088879108428955	3.372248165443629	0.012924221287000206	0.19260282936624837	566305.0401935097
0.08	8	0.7809649552107648	1.2710859775543213	3.4723148765843894	0.00869416277902628	0.1941788724098495	563919.7988820876
0.07	9	0.7920346879443837	1.7871119976043701	3.5023348899266176	0.009042457916880648	0.1941788724098495	563991.0065038393
0.06	10	0.7944855032275456	2.543672800064087	3.5123415610406936	0.009102520136621658	0.1941788724098495	565583.7100203229
0.05	10	0.7577820236050643	2.7167601585388184	3.412274849899933	0.009229116824726047	0.1941788724098495	567555.6908720079
